FID_,ID,DEATHS,POINT_X,POINT_Y
,1.0000000,1.0000000,529077.366294999960000,181259.830174000000000
,2.0000000,3.0000000,529194.522212999990000,181234.845299999990000
,3.0000000,2.0000000,529207.119620000010000,181240.526482999990000
,4.0000000,5.0000000,529190.076068999940000,181157.284794000010000
,5.0000000,2.0000000,529255.143154000050000,181231.687993000000000
,6.0000000,3.0000000,529248.844943000000000,181209.014432000000000
,7.0000000,3.0000000,529283.895229000020000,181169.379053999990000
,8.0000000,1.0000000,529275.989426000040000,181184.880628000010000
,9.0000000,3.0000000,529263.898198000040000,181180.695203000010000
,1.0000000,3.0000000,529266.533465999990000,181208.288005000010000
,1.1000000,1.0000000,529298.466708000050000,181217.278918000000000
,1.2000000,1.0000000,529308.232700000050000,181222.394437000010000
,1.4000000,1.0000000,529328.229730000020000,181218.209012000010000
,1.5000000,1.0000000,529321.719068999980000,181214.798665999990000
,1.6000000,1.0000000,529313.968282000050000,181211.078287999990000
,1.3000000,2.0000000,529313.038187999980000,181193.871541000000000
,1.7000000,1.0000000,529306.682541999970000,181190.306179000010000
,1.8000000,1.0000000,529275.679393999980000,181157.752874000000000
,1.9000000,1.0000000,529280.639898000050000,181146.126693000000000
,2.0000000,2.0000000,529285.135354000030000,181134.500512000000000
,2.0999999,2.0000000,529319.548849000010000,181143.956473000000000
,2.2000000,5.0000000,529324.354337000060000,181146.436725000010000
,2.3000000,2.0000000,529341.406068000010000,181155.272621999990000
,2.4000001,5.0000000,529371.014074999960000,181153.722463999990000
,2.5999999,1.0000000,529359.232878000010000,181177.129840999990000
,2.8000000,2.0000000,529343.421272999960000,181169.844101000000000
,3.0000000,1.0000000,529337.685689999950000,181166.433755000010000
,3.2000000,1.0000000,529332.880203000040000,181163.333439999990000
,3.4000001,1.0000000,529321.719068999980000,181157.442841999990000
,2.5000000,5.0000000,529365.743539000050000,181134.965560000010000
,2.7000000,3.0000000,529359.697925999990000,181131.555213000010000
,2.9000001,3.0000000,529354.272374999940000,181128.609914000000000
,3.0999999,1.0000000,529344.351367000020000,181123.959441999990000
,3.3000000,5.0000000,529338.305752999960000,181120.704112000010000
,3.5000000,5.0000000,529332.725187000000000,181117.913827999990000
,3.5999999,4.0000000,529318.153706999960000,181109.542978000010000
,3.7000000,2.0000000,529386.980696000040000,181152.637354000010000
,3.8000000,1.0000000,529407.287757999960000,181159.768077999990000
,3.9000001,2.0000000,529376.129594000060000,181171.704289999990000
,4.0000000,1.0000000,529371.014074999960000,181180.850219000010000
,3.2000000,3.0000000,529365.743539000050000,181165.503661000000000
